,"Tube in -	Petit_Complexe	-	2012.09.27 13:25:11","Tube in -	Petit_Complexe	-	2012.09.27 13:25:03","Tube in -	Petit_Complexe	-	2012.09.27 13:31:05","Tube in -	Petit_Complexe	-	2012.09.27 13:30:56","Tube in -	Petit_Complexe	-	2012.09.27 13:33:33","Tube in -	Petit_Complexe	-	2012.09.27 13:33:26","Tube in -	Petit_Complexe	-	2012.09.27 13:34:47","Tube in -	Petit_Complexe	-	2012.09.27 13:34:40","Tube in -	Petit_Complexe	-	2012.09.27 13:36:44","Tube in -	Petit_Complexe	-	2012.09.27 13:36:38","Tube in -	Petit_Complexe	-	2012.09.27 13:38:28","Tube in -	Petit_Complexe	-	2012.09.27 13:38:20","Tube in -	Petit_Complexe	-	2012.09.27 13:40:55","Tube in -	Petit_Complexe	-	2012.09.27 13:40:48","Tube in -	Petit_Complexe	-	2012.09.27 13:42:10","Tube in -	Petit_Complexe	-	2012.09.27 13:42:03","Tube in -	Petit_Complexe	-	2012.09.27 13:45:51","Tube in -	Petit_Complexe	-	2012.09.27 13:45:45","Tube in -	Petit_Complexe	-	2012.09.27 13:47:51","Tube in -	Petit_Complexe	-	2012.09.27 13:47:43","Tube in -	Petit_Complexe	-	2012.09.27 13:49:10","Tube in -	Petit_Complexe	-	2012.09.27 13:49:03","Tube in -	Petit_Complexe	-	2012.09.27 16:57:15","Tube in -	Petit_Complexe	-	2012.09.27 16:57:09"
Freq,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data
1708.5,3.230804443,3.20650506,3.798651218,3.784573793,4.506193638,4.512476444,5.085587978,5.067102432,6.085927963,6.036592484,7.163794041,7.124130249,8.458724022,8.296951294,9.659171104,9.648908615,10.99061871,10.97827435,14.45828915,14.29020786,19.28847504,19.12343407,3.005539179,2.991392136
1709,3.216427565,3.192461491,3.784523487,3.770815134,4.486310482,4.492753983,5.069508076,5.051389694,6.050117493,6.001849651,7.124369144,7.08409071,8.41943264,8.258513451,9.604706764,9.593579292,10.90771484,10.89601231,14.30417252,14.1406002,19.01351166,18.85273933,2.992522478,2.980712652
1709.5,3.205195427,3.181664944,3.77469945,3.761294365,4.470874786,4.477172375,5.057044029,5.040392876,6.020318508,5.973106384,7.091215611,7.049874306,8.38720417,8.22659111,9.557949066,9.546163559,10.83456802,10.82344532,14.16558647,14.00540447,18.7637825,18.6088829,2.97931242,2.968434572
1710,3.190685511,3.167661428,3.761312246,3.748165369,4.450229645,4.456886768,5.039373875,5.023578644,5.983643055,5.937318325,7.049557686,7.007611752,8.345473289,8.184300423,9.500805855,9.488222122,10.75189209,10.74080944,14.01410007,13.85758686,18.50522614,18.35589981,2.963880301,2.952961206
1710.5,3.170022726,3.147400141,3.741449118,3.728313684,4.420814514,4.427310944,5.01269865,4.997424126,5.935595036,5.890809059,6.994320869,6.953083992,8.288796425,8.128071785,9.427657127,9.414385796,10.65347099,10.6427803,13.84072495,13.68915462,18.22381592,18.07929611,2.946370363,2.935452938
1711,3.149559498,3.127112627,3.722117901,3.709826469,4.391266823,4.398106575,4.988111973,4.971879005,5.889290333,5.846290112,6.940485001,6.899744511,8.234342575,8.074251175,9.35964489,9.346307755,10.56097221,10.5513401,13.67418575,13.52760887,17.95348167,17.81173325,2.929296255,2.91987896
1711.5,3.13570261,3.11360693,3.711018801,3.69932723,4.371282578,4.377963066,4.974383831,4.957744122,5.856945992,5.815038204,6.901902199,6.860637665,8.197732925,8.038033485,9.314177513,9.300564766,10.49311543,10.48401165,13.53946114,13.39686012,17.72455215,17.58598518,2.91557312,2.907952785
1712,3.124946594,3.103727102,3.704665661,3.692658901,4.355865479,4.362504005,4.964593887,4.948404789,5.831375122,5.79076004,6.870004177,6.828427792,8.169063568,8.008590698,9.278868675,9.264815331,10.43493557,10.42623138,13.41947365,13.27990913,17.51222229,17.37804794,2.904716969,2.898237705
1712.5,3.109234095,3.088891268,3.692300797,3.67990613,4.333067417,4.339108944,4.94560194,4.929780483,5.796503544,5.756989479,6.825464249,6.783548832,8.125530243,7.964209557,9.225689888,9.211385727,10.3568964,10.34786224,13.27624702,13.13993073,17.26841545,17.13945961,2.892334461,2.886137247
1713,3.08742857,3.067615509,3.672468901,3.660184383,4.301160812,4.308222294,4.916545868,4.900531292,5.750633717,5.712272167,6.767286777,6.725466728,8.065894127,7.904582977,9.152795792,9.138641357,10.25877857,10.24966812,13.11057281,12.97764969,16.99732399,16.87272263,2.876325607,2.869843245
