,"Tube in -	Grand_Complexe	-	2012.09.27 11:42:04","Tube in -	Grand_Complexe	-	2012.09.27 11:23:22","Tube in -	Grand_Complexe	-	2012.09.27 11:23:10","Tube in -	Grand_Complexe	-	2012.09.27 11:27:15","Tube in -	Grand_Complexe	-	2012.09.27 11:27:06","Tube in -	Grand_Complexe	-	2012.09.27 11:32:46","Tube in -	Grand_Complexe	-	2012.09.27 11:32:37","Tube in -	Grand_Complexe	-	2012.09.27 11:36:17","Tube in -	Grand_Complexe	-	2012.09.27 11:13:21","Tube in -	Grand_Complexe	-	2012.09.27 11:42:12","Tube in -	Grand_Complexe	-	2012.09.27 16:52:48","Tube in -	Grand_Complexe	-	2012.09.27 11:44:31","Tube in -	Grand_Complexe	-	2012.09.27 11:44:22","Tube in -	Grand_Complexe	-	2012.09.27 16:44:39","Tube in -	Grand_Complexe	-	2012.09.27 16:44:31","Tube in -	Grand_Complexe	-	2012.09.27 16:48:16","Tube in -	Grand_Complexe	-	2012.09.27 16:48:07","Tube in -	Grand_Complexe	-	2012.09.27 16:52:56","Tube in -	Grand_Complexe	-	2012.09.27 11:36:08"
Freq,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data
575.5,15.8376379,22.47933578,22.33608818,22.26278496,22.19317627,20.10848618,20.17937279,18.05722046,22.85786438,15.75808525,11.15898705,14.0274868,14.08342648,13.45172215,13.83665371,12.0442934,12.15525723,11.0163126,17.94491196
576,16.29600143,23.42626762,23.27402496,23.1863308,23.10860443,20.85963058,20.9379406,18.66478157,23.69760132,16.212286,11.37483692,14.38593292,14.44457245,13.74909306,14.13194752,12.29233932,12.39036465,11.2381506,18.54424858
576.5,16.78756332,24.44989586,24.28876495,24.18268204,24.09646606,21.66698837,21.75515938,19.31401443,24.57866096,16.69828796,11.61151886,14.77229977,14.83320808,14.072855,14.45577717,12.56265259,12.6487608,11.47818279,19.18429947
577,17.31622887,25.55338097,25.38288879,25.2545414,25.15948296,22.53658295,22.6369381,20.01171303,25.49263191,17.22134781,11.87208652,15.18997574,15.25433064,14.42707729,14.81364059,12.85942364,12.93429565,11.73978806,19.87130356
577.5,17.88799095,26.73789978,26.55825424,26.40531921,26.30125999,23.47397804,23.5893364,20.76465797,26.43758011,17.7874794,12.15862083,15.64385796,15.7112627,14.81781101,15.21101379,13.18550777,13.2508707,12.02440739,20.61311531
578,18.50842285,27.99521065,27.80621529,27.62979126,27.51675034,24.48140907,24.61478996,21.57750702,27.39851761,18.40039063,12.47233963,16.13510704,16.20704269,15.24715328,15.65264702,13.5427742,13.60035801,12.33335209,21.41406059
578.5,19.18332672,29.32032204,29.12421608,28.92558289,28.80366135,25.56211472,25.7167511,22.4585495,28.36651039,19.06611824,12.81481647,16.66902924,16.74467659,15.71829319,16.14262962,13.9325037,13.98655224,12.66623783,22.28102112
579,19.91671371,30.69828796,30.49751663,30.28017807,30.14944077,26.71414566,26.89362717,23.41078758,29.32212448,19.78979111,13.18649483,17.24631119,17.32724571,16.23437309,16.68455315,14.35622978,14.4104166,13.02447128,23.21894455
579.5,20.71510315,32.11462784,31.91129303,31.68088913,31.54359627,27.93278885,28.14225388,24.43821526,30.25202179,20.57618713,13.58713818,17.8697319,17.95685577,16.79830551,17.28288078,14.81381321,14.87259865,13.40667057,24.23040009
580,21.5839119,33.54426575,33.3414917,33.10847855,32.9660759,29.21092415,29.45524406,25.54197884,31.13448906,21.43123055,14.01603889,18.5423584,18.63702774,17.41224098,17.93999481,15.30594444,15.3747406,13.81211662,25.31880569
